key,en,zh
EVENT_FAILURE,Adventure failed. \nMight as well have stayed in the city for a little longer...,冒险失败了。\n要是在城里多逗留一下的话…
EVENT_FAILURE_1,A supposed shortcut led to a dead end.,一条看似捷径的路没能走通。
EVENT_FAILURE_2,A carefully built camp was destroyed.,精心搭建的营地被摧毁了。
EVENT_FAILURE_3,"It rained all night, couldn’t sleep well.",雨下整夜，没有睡好。
EVENT_FAILURE_4,"Overestimated jumping ability, landed in mud.",高估了自己的跳跃能力，在小河沟摔得一身淤泥。
EVENT_FAILURE_5,"Sat by the river all day, bait all eaten.",在河边坐了一整天，鱼饵都被吃完了。
EVENT_FAILURE_6,A day of constant misfortune.,诸事不顺的一天。
EVENT_FAILURE_7,Steps grew lighter—turns out the backpack had a hole.,脚步愈发轻快，原来是背包破了洞。
EVENT_FAILURE_8,"Conquered the hill, only to realize it was the wrong one.",征服了眼前的山丘，到顶才发现爬错了。
,,
ADVENTURE_SCORE,Adventure Score,冒险得分
FINAL_SCORE,Final Score,最终得分
THANK_YOU,"Thank you for playtesting! \nTo better help us design, if you agree, please click the button below to export the game log to your clipboard and send it to us through Discord. Much Appreciated!",感谢测试！\n为了更好地帮助我们设计，如您同意，请点击下方按钮导出游戏日志到您的剪贴板，并通过微信发送给我们。再次感谢！
LOG_COPY,Copy Log,复制日志
LOG_COPIED,Log Copied to Clipboard,已复制到剪贴板
PLAY_AGAIN,Play Again,再次游玩
,,
EVENT_ARRIVE,Now Visiting,已到达
EVENT_LOCATION_1,Outer Stayvesant,逗留城郊
EVENT_LOCATION_2,Promoton,笙阡
EVENT_LOCATION_3,Desirough,峪望
EVENT_LOCATION_4,Materiar,婺​治
EVENT_LOCATION_5,Feedburg,畈馈
EVENT_LOCATION_6,Incremont,蓬丈
EVENT_LOCATION_7,Addicthorp,尚​郢
